iter	RMSE
0	20.30607782
1	20.25994095
2	20.21023622
3	20.16050923
4	20.11126163
5	20.06468515
6	20.01683463
7	19.96733741
8	19.91957113
9	19.87516398
10	19.83490438
11	19.79097841
12	19.748503
13	19.7063738
14	19.66253987
15	19.61987051
16	19.57940093
17	19.53857568
18	19.49896989
19	19.46004384
20	19.42191793
21	19.38362595
22	19.3440759
23	19.30396463
24	19.26703453
25	19.23355761
26	19.19407576
27	19.15692419
28	19.11626398
29	19.08369552
30	19.04741515
31	19.00984463
32	18.975406
33	18.93832294
34	18.90380811
35	18.87685341
36	18.8410962
37	18.80704809
38	18.77511026
39	18.74124794
40	18.70627774
41	18.67607505
42	18.64710568
43	18.61559229
44	18.58575083
45	18.55670358
46	18.53540175
47	18.50519188
48	18.47743836
49	18.45676172
50	18.42818897
51	18.40173166
52	18.37216163
53	18.34327772
54	18.31794246
55	18.29265463
56	18.26816343
57	18.24404691
58	18.21774445
59	18.19125051
60	18.16431527
61	18.1389439
62	18.11425577
63	18.09056314
64	18.06390831
65	18.0383574
66	18.01358769
67	17.98655681
68	17.96191178
69	17.93745789
70	17.91230968
71	17.88971432
72	17.86637472
73	17.84448864
74	17.82174269
75	17.80260616
76	17.77873714
77	17.75842355
78	17.73719269
79	17.71708006
80	17.69312319
81	17.67062266
82	17.64992947
83	17.62845431
84	17.61231104
85	17.59179434
86	17.57670887
87	17.55821796
88	17.53836077
89	17.52374668
90	17.50372982
91	17.48535412
92	17.46440924
93	17.44483363
94	17.42676033
95	17.41092184
96	17.39169911
97	17.37117829
98	17.35379211
99	17.33620192
100	17.31836574
101	17.29895443
102	17.28228949
103	17.26567264
104	17.24702132
105	17.22663288
106	17.21025719
107	17.20244341
108	17.18291515
109	17.16791262
110	17.15010808
111	17.13313532
112	17.11795708
113	17.10392128
114	17.097179
115	17.07981638
116	17.06454867
117	17.05106966
118	17.03472205
119	17.01899937
120	16.99868534
121	16.98697808
122	16.97235355
123	16.9562084
124	16.9395349
125	16.93113273
126	16.92208783
127	16.91084913
128	16.89606305
129	16.87982638
130	16.86842172
131	16.85550931
132	16.83735642
133	16.82969764
134	16.81738456
135	16.80561169
136	16.79447406
137	16.77993914
138	16.7670789
139	16.75042284
140	16.73945913
141	16.72529137
142	16.71319958
143	16.70363607
144	16.69396367
145	16.68156431
146	16.67018199
147	16.66068104
148	16.64955839
149	16.63807717
150	16.62319091
151	16.61354935
152	16.60376533
153	16.59308445
154	16.58147202
155	16.57849823
156	16.56623576
157	16.55322518
158	16.54187522
159	16.52942035
160	16.51915063
161	16.50931392
162	16.50468789
163	16.49298248
164	16.48070014
165	16.46993852
166	16.46061667
167	16.44728755
168	16.43386771
169	16.42167949
170	16.41077633
171	16.39797853
172	16.38996632
173	16.38010804
174	16.37088325
175	16.36098298
176	16.35257863
177	16.3427915
178	16.33050251
179	16.31996418
180	16.31066227
181	16.29919062
182	16.28921464
183	16.27709349
184	16.2679554
185	16.25898211
186	16.24663468
187	16.23575056
188	16.23045827
189	16.2204154
190	16.20752612
191	16.19523757
192	16.18544993
193	16.17468577
194	16.16451901
195	16.15536929
196	16.14600379
197	16.13825682
198	16.12947168
199	16.1202565
200	16.109688
201	16.09945992
202	16.08817455
203	16.08050542
204	16.06998752
205	16.0673317
206	16.06105737
207	16.05220075
208	16.04421539
209	16.03669888
210	16.02636302
211	16.01629032
212	16.00774796
213	15.99854657
214	15.98896085
215	15.97825026
216	15.96853494
217	15.96055664
218	15.95188822
219	15.94313883
220	15.93328321
221	15.92519826
222	15.91824835
223	15.91091374
224	15.90455018
225	15.89549615
226	15.88621008
227	15.87739347
228	15.8706734
229	15.86533284
230	15.86236274
231	15.85715785
232	15.85526616
233	15.84884781
234	15.8381684
235	15.83090718
236	15.82367541
237	15.81262919
238	15.81128868
239	15.80312673
240	15.79382078
241	15.78396787
242	15.77748607
243	15.77203386
244	15.76603512
245	15.75830448
246	15.75118929
247	15.7411215
248	15.73385716
249	15.72627538
250	15.71954558
251	15.70907372
252	15.70383006
253	15.697435
254	15.68939479
255	15.68178627
256	15.67496493
257	15.67215279
258	15.66478117
259	15.65710084
260	15.64828793
261	15.63837121
262	15.63312831
263	15.62481448
264	15.62044721
265	15.60999595
266	15.6022482
267	15.59787903
268	15.59084688
269	15.58878199
270	15.58195419
271	15.5802978
272	15.57141845
273	15.56494362
274	15.55713805
275	15.55236517
276	15.54840584
277	15.54247127
278	15.5359349
279	15.52889422
280	15.52057731
281	15.51583156
282	15.50780152
283	15.49912658
284	15.49303784
285	15.48669192
286	15.48348769
287	15.47677594
288	15.47036138
289	15.46627659
290	15.45740906
291	15.45102234
292	15.44206883
293	15.43531479
294	15.43033199
295	15.42668032
296	15.42567524
297	15.41858412
298	15.41106041
299	15.41006649
300	15.40676677
301	15.40080401
302	15.39423428
303	15.38720083
304	15.38046703
305	15.37072729
306	15.36393411
307	15.35845521
308	15.35215632
309	15.34677945
310	15.34099539
311	15.3336779
312	15.32759683
313	15.32011711
314	15.31360812
315	15.30419794
316	15.29870076
317	15.29242748
318	15.28481723
319	15.27820401
320	15.2727286
321	15.26819691
322	15.26192052
323	15.25736075
324	15.24952391
325	15.24223495
326	15.23867375
327	15.22910399
328	15.22269448
329	15.21789165
330	15.21273797
331	15.20809913
332	15.20168103
333	15.19539639
334	15.1891469
335	15.18597594
336	15.17850743
337	15.17346665
338	15.16652802
339	15.16182645
340	15.15761338
341	15.14901651
342	15.143363
343	15.14265133
344	15.13588641
345	15.13231032
346	15.12441018
347	15.1208851
348	15.11545265
349	15.10989039
350	15.10626551
351	15.10496193
352	15.09983658
353	15.09448843
354	15.09166402
355	15.0877955
356	15.08429716
357	15.07714708
358	15.06967149
359	15.06550791
360	15.06345534
361	15.06024146
362	15.05203133
363	15.04779926
364	15.0429449
365	15.03773177
366	15.03067889
367	15.02476458
368	15.0207626
369	15.01729247
370	15.01028913
371	15.00854933
372	15.00382492
373	14.9975082
374	14.99442939
375	14.98959567
376	14.98274522
377	14.97823921
378	14.97482641
379	14.9746151
380	14.96969157
381	14.96931207
382	14.96499018
383	14.96409421
384	14.9601729
385	14.95571002
386	14.94801782
387	14.94432976
388	14.93962652
389	14.93207421
390	14.93022061
391	14.92443329
392	14.91913984
393	14.91826551
394	14.91233879
395	14.91224483
396	14.90808207
397	14.90806515
398	14.90254548
399	14.89715703
400	14.88986205
401	14.88543897
402	14.88190303
403	14.88142816
404	14.874608
405	14.87019068
406	14.86653896
407	14.86278075
408	14.86195598
409	14.85491037
410	14.85107268
411	14.84510334
412	14.84260664
413	14.83584061
414	14.82911508
415	14.82420201
416	14.82056508
417	14.81453778
418	14.81015418
419	14.80579297
420	14.80393705
421	14.79717857
422	14.79491528
423	14.79160372
424	14.78627926
425	14.78337697
426	14.78033826
427	14.77532928
428	14.76827513
429	14.76308885
430	14.7615001
431	14.7556556
432	14.75331471
433	14.74744272
434	14.74344334
435	14.73873276
436	14.7345321
437	14.73022815
438	14.72507875
439	14.71992855
440	14.71433695
441	14.71409096
442	14.71255581
443	14.70594487
444	14.69981022
445	14.69717629
446	14.693009
447	14.68718997
448	14.68398722
449	14.68141617
450	14.67740644
451	14.67516902
452	14.67226518
453	14.66814828
454	14.66495528
455	14.65916412
456	14.65276507
457	14.64981675
458	14.64726405
459	14.64133605
460	14.64109443
461	14.6384858
462	14.63435699
463	14.63403777
464	14.6309277
465	14.63046341
466	14.62967548
467	14.6290207
468	14.62096681
469	14.61781256
470	14.61471174
471	14.61138284
472	14.60708218
473	14.60066082
474	14.59759701
475	14.59334352
476	14.59234178
477	14.58754171
478	14.58271943
479	14.57831964
480	14.57237015
481	14.56771751
482	14.56546924
483	14.56462249
484	14.56258425
485	14.55728562
486	14.55295866
487	14.54980862
488	14.54409581
489	14.5399463
490	14.53652962
491	14.52955025
492	14.52460019
493	14.51702233
494	14.5147684
495	14.51062899
496	14.50636539
497	14.50325462
498	14.49892375
499	14.49853943
500	14.49410207
501	14.48864008
502	14.48522137
503	14.48088059
504	14.47625833
505	14.475812
506	14.46989413
507	14.46978656
508	14.46795902
509	14.46087943
510	14.4553456
511	14.45154444
512	14.44885128
513	14.4437099
514	14.44222049
515	14.43850758
516	14.43497192
517	14.43003906
518	14.42441328
519	14.42420786
520	14.42352945
521	14.42204565
522	14.4198556
523	14.41765574
524	14.4128467
525	14.4096774
526	14.4095665
527	14.40419053
528	14.39834582
529	14.39833343
530	14.39798611
531	14.39313689
532	14.39070473
533	14.3878693
534	14.38591318
535	14.38177337
536	14.3764378
537	14.37225931
538	14.37206261
539	14.36961065
540	14.36946182
541	14.36590877
542	14.36106751
543	14.36032823
544	14.35677598
545	14.35635399
546	14.35268621
547	14.35164739
548	14.34938215
549	14.34912387
550	14.34414413
551	14.34236644
552	14.33813211
553	14.33539356
554	14.33122363
555	14.3279053
556	14.32471741
557	14.32328534
558	14.3194459
559	14.31520004
560	14.31173773
561	14.30971653
562	14.30581255
563	14.30152371
564	14.29852967
565	14.29653239
566	14.29399389
567	14.28910892
568	14.28613408
569	14.28089635
570	14.27653432
571	14.27094372
572	14.26711202
573	14.26398327
574	14.25970713
575	14.25626873
576	14.25436736
577	14.25435444
578	14.25223101
579	14.24683538
580	14.24629351
581	14.24291372
582	14.24143234
583	14.23620499
584	14.2357659
585	14.23475886
586	14.2307581
587	14.22957261
588	14.22466617
589	14.22122031
590	14.2171807
591	14.21499977
592	14.21210962
593	14.20983388
594	14.20420489
595	14.20420362
596	14.19725271
597	14.19584233
598	14.18878533
599	14.18748482
600	14.18392432
601	14.18219707
602	14.17987829
603	14.17560675
604	14.17337511
605	14.16784936
606	14.16501333
607	14.16227639
608	14.1583384
609	14.15395168
610	14.15010763
611	14.14651166
612	14.14478602
613	14.1408532
614	14.14083766
615	14.13628437
616	14.13311341
617	14.131527
618	14.1261522
619	14.12493433
620	14.12384539
621	14.12376075
622	14.12150533
623	14.11895594
624	14.11843163
625	14.1161871
626	14.11161303
627	14.10546635
628	14.10137573
629	14.09726342
630	14.09218017
631	14.08988375
632	14.08802519
633	14.08357583
634	14.08330147
635	14.08118558
636	14.07611099
637	14.07293292
638	14.06586504
639	14.06115318
640	14.05566795
641	14.05293577
642	14.04813376
643	14.04646985
644	14.04527466
645	14.04053908
646	14.03722546
647	14.03583349
648	14.03306311
649	14.02848983
650	14.02846534
651	14.0248942
652	14.02140307
653	14.01855047
654	14.01461167
655	14.01380466
656	14.01039472
657	14.00532758
658	14.00125643
659	14.00104945
660	13.99966714
661	13.9940549
662	13.99376833
663	13.98938325
664	13.98545418
665	13.9817624
666	13.97872123
667	13.97219876
668	13.96973809
669	13.96519205
670	13.96462009
671	13.95975689
672	13.95716049
673	13.95606408
674	13.9524199
675	13.95051511
676	13.94592891
677	13.94421461
678	13.94411122
679	13.94190953
680	13.93663928
681	13.9320477
682	13.93192562
683	13.92882677
684	13.92498084
685	13.92486822
686	13.92478527
687	13.91998059
688	13.91997066
689	13.9170864
690	13.91331313
691	13.91205148
692	13.90990588
693	13.90881254
694	13.90411799
695	13.90073377
696	13.89728377
697	13.89163741
698	13.88798514
699	13.88497501
700	13.8825019
701	13.88008307
702	13.87847499
703	13.87500811
704	13.87340305
705	13.87228462
706	13.8668147
707	13.86496977
708	13.86156044
709	13.85926389
710	13.85444406
711	13.8522908
712	13.84917587
713	13.84908908
714	13.84823573
715	13.84660673
716	13.84576393
717	13.84092479
718	13.83695708
719	13.83687725
720	13.83493166
721	13.83125873
722	13.83022107
723	13.82694162
724	13.82448262
725	13.82370252
726	13.82124076
727	13.82111731
728	13.8195458
729	13.81578014
730	13.81361943
731	13.80905116
732	13.80493074
733	13.79967237
734	13.79629001
735	13.79274858
736	13.7912647
737	13.7911852
738	13.78629921
739	13.78398335
740	13.7809646
741	13.77713898
742	13.77438173
743	13.77232788
744	13.76931026
745	13.76921441
746	13.76482991
747	13.75844414
748	13.75593504
749	13.75313452
750	13.74986363
751	13.74563326
752	13.74513435
753	13.7431262
754	13.74240579
755	13.74191792
756	13.7399243
757	13.73584387
758	13.72983475
759	13.7282609
760	13.72818244
761	13.7240955
762	13.71936819
763	13.71681319
764	13.71472753
765	13.71229967
766	13.71229369
767	13.71179821
768	13.7100228
769	13.7062169
770	13.70218811
771	13.69811593
772	13.69699114
773	13.69299817
774	13.68809986
775	13.68809617
776	13.68390801
777	13.68365123
778	13.68125977
779	13.67906011
780	13.67641051
781	13.67385222
782	13.67014514
783	13.66757732
784	13.66591211
785	13.66385248
786	13.65764366
787	13.65752824
788	13.65126557
789	13.64651465
790	13.64208394
791	13.64078972
792	13.64071409
793	13.63890763
794	13.6377305
795	13.63708348
796	13.63571763
797	13.63564287
798	13.63272587
799	13.63265148
800	13.62859536
801	13.62377883
802	13.62338316
803	13.62330404
804	13.62000796
805	13.61978337
806	13.61370168
807	13.60889037
808	13.60731466
809	13.6027954
810	13.60131564
811	13.59727966
812	13.59698157
813	13.59575519
814	13.59098323
815	13.58878467
816	13.58871333
817	13.58437189
818	13.58071653
819	13.57897104
820	13.57829546
821	13.57548618
822	13.57110651
823	13.5697187
824	13.56958611
825	13.56600903
826	13.56409024
827	13.56077437
828	13.5588968
829	13.55725656
830	13.55682701
831	13.55675791
832	13.55668921
833	13.55620459
834	13.55227626
835	13.55046396
836	13.55004158
837	13.54669434
838	13.54566133
839	13.54077654
840	13.5364361
841	13.5348714
842	13.53108382
843	13.5306821
844	13.53058628
845	13.52521242
846	13.52416767
847	13.52216366
848	13.52209176
849	13.5185225
850	13.5183399
851	13.51804534
852	13.51705887
853	13.51588293
854	13.51327204
855	13.51320065
856	13.51304076
857	13.50776522
858	13.50489482
859	13.49829804
860	13.49468381
861	13.49461071
862	13.49179594
863	13.49135052
864	13.49092926
865	13.48968785
866	13.48959636
867	13.48812595
868	13.48616974
869	13.47891617
870	13.47463434
871	13.47213858
872	13.47083837
873	13.46780384
874	13.46772646
875	13.46721717
876	13.46714928
877	13.46687274
878	13.46636876
879	13.46168149
880	13.45959461
881	13.45950958
882	13.45640024
883	13.4548863
884	13.45440921
885	13.45415185
886	13.45376662
887	13.45256722
888	13.45244488
889	13.45128435
890	13.45026645
891	13.44511778
892	13.44505586
893	13.44068248
894	13.44057587
895	13.43812154
896	13.4379877
897	13.43676027
898	13.43665563
899	13.43476041
900	13.43086728
901	13.42762734
902	13.42424813
903	13.42007382
904	13.41479955
905	13.41025371
906	13.40914303
907	13.40613381
908	13.40598413
909	13.40481047
910	13.40401731
911	13.40060314
912	13.39953862
913	13.39600341
914	13.39351091
915	13.39286797
916	13.38826901
917	13.38297993
918	13.37869153
919	13.37840762
920	13.37764535
921	13.37627662
922	13.37606947
923	13.37303571
924	13.37251882
925	13.36637032
926	13.35909062
927	13.35902023
928	13.35742322
929	13.3567366
930	13.35599707
931	13.35438297
932	13.35301417
933	13.35254014
934	13.35039957
935	13.34846855
936	13.3452049
937	13.3417512
938	13.34160034
939	13.34045705
940	13.33991314
941	13.33984824
942	13.33954112
943	13.33719777
944	13.33647689
945	13.33626851
946	13.3360588
947	13.33434023
948	13.33242697
949	13.32688892
950	13.32476375
951	13.32174782
952	13.3158438
953	13.30933141
954	13.30605264
955	13.30544579
956	13.30455838
957	13.30389594
958	13.30376534
959	13.303531
960	13.30036145
961	13.29512267
962	13.29291686
963	13.29275432
964	13.29021955
965	13.29006159
966	13.28568023
967	13.28548955
968	13.28268888
969	13.28219372
970	13.27746034
971	13.27544555
972	13.27537064
973	13.26919785
974	13.26896498
975	13.26583529
976	13.26563656
977	13.26438339
978	13.26420655
979	13.25838226
980	13.25819053
981	13.25358268
982	13.24934795
983	13.24648169
984	13.24629969
985	13.23978459
986	13.23664544
987	13.23234466
988	13.22984092
989	13.22692361
990	13.22100411
991	13.22081247
992	13.22062243
993	13.21871524
994	13.21695751
995	13.21367665
996	13.21160567
997	13.21152018
998	13.20829591
999	13.20651508
