iter	Passed	Remaining
400	19167	4732
401	19209	4682
402	19265	4636
403	19309	4588
404	19358	4540
405	19402	4492
406	19453	4445
407	19499	4396
408	19554	4350
409	19594	4301
410	19633	4251
411	19676	4202
412	19725	4155
413	19759	4104
414	19811	4057
415	19855	4009
416	19903	3961
417	19963	3916
418	20025	3871
419	20067	3822
420	20110	3773
421	20143	3723
422	20191	3675
423	20228	3625
424	20278	3578
425	20313	3528
426	20367	3482
427	20415	3434
428	20463	3386
429	20500	3337
430	20540	3288
431	20586	3240
432	20637	3193
433	20680	3145
434	20718	3095
435	20764	3048
436	20805	2999
437	20851	2951
438	20904	2904
439	20947	2856
440	20985	2807
441	21026	2759
442	21070	2711
443	21110	2662
444	21158	2615
445	21197	2566
446	21257	2520
447	21303	2472
448	21339	2423
449	21380	2375
450	21432	2328
451	21475	2280
452	21521	2232
453	21559	2184
454	21604	2136
455	21642	2088
456	21688	2040
457	21738	1993
458	21785	1946
459	21826	1897
460	21868	1850
461	21912	1802
462	21970	1755
463	22020	1708
464	22079	1661
465	22145	1615
466	22208	1569
467	22267	1522
468	22343	1476
469	22395	1429
470	22447	1382
471	22499	1334
472	22558	1287
473	22611	1240
474	22653	1192
475	22691	1144
476	22744	1096
477	22789	1048
478	22844	1001
479	22897	954
480	22958	906
481	23007	859
482	23072	812
483	23128	764
484	23200	717
485	23258	670
486	23320	622
487	23379	574
488	23426	526
489	23479	479
490	23536	431
491	23591	383
492	23650	335
493	23702	287
494	23755	239
495	23799	191
496	23843	143
497	23887	95
498	23958	48
499	24017	0
