iter	RMSE
0	19.79850792
1	19.37617932
2	19.03196716
3	18.7166027
4	18.4536172
5	18.23876216
6	18.03514103
7	17.83927686
8	17.68025488
9	17.56508766
10	17.50732558
11	17.38715516
12	17.26491449
13	17.14232697
14	17.04579843
15	16.94955286
16	16.86269665
17	16.79976557
18	16.7280914
19	16.67404427
20	16.60995734
21	16.54663369
22	16.49271579
23	16.41877623
24	16.36314302
25	16.29732094
26	16.26610764
27	16.24438931
28	16.19871765
29	16.15775172
30	16.13478697
31	16.0921344
32	16.05941193
33	16.00988198
34	15.97781713
35	15.94821542
36	15.91615769
37	15.88023738
38	15.85255031
39	15.82211752
40	15.78805986
41	15.74775358
42	15.73796483
43	15.73757106
44	15.72269422
45	15.67758111
46	15.67686505
47	15.67680429
48	15.65343136
49	15.6396099
50	15.61596806
51	15.6020326
52	15.58226093
53	15.55158357
54	15.53332666
55	15.52172766
56	15.47887226
57	15.45476671
58	15.44107322
59	15.41933901
60	15.38941201
61	15.36382361
62	15.3467169
63	15.33102945
64	15.30719381
65	15.28929765
66	15.27874661
67	15.2590298
68	15.24717049
69	15.23799273
70	15.19851166
71	15.1709522
72	15.15356006
73	15.14102835
74	15.12881586
75	15.12048925
76	15.10275367
77	15.08306582
78	15.05858537
79	15.04197286
80	15.02883912
81	14.99169861
82	14.98867992
83	14.96649229
84	14.96135827
85	14.95917405
86	14.95055115
87	14.93134209
88	14.92842937
89	14.9191756
90	14.90616608
91	14.89778427
92	14.88471974
93	14.8776478
94	14.86285986
95	14.81264379
96	14.80208781
97	14.79859558
98	14.792773
99	14.75758063
100	14.75391039
101	14.74313579
102	14.73957938
103	14.72962831
104	14.69815742
105	14.68541643
106	14.67010768
107	14.64717058
108	14.62938337
109	14.60281051
110	14.57917936
111	14.5751238
112	14.56298777
113	14.55990849
114	14.55068838
115	14.52995729
116	14.51401907
117	14.50676326
118	14.49310957
119	14.46717945
120	14.44449929
121	14.41166555
122	14.40627067
123	14.38191014
124	14.37558392
125	14.35939836
126	14.35664497
127	14.35469652
128	14.34521733
129	14.33518873
130	14.33102383
131	14.32032533
132	14.27235396
133	14.26527328
134	14.2632212
135	14.25537752
136	14.23765851
137	14.22430096
138	14.19945957
139	14.19796308
140	14.16287026
141	14.14113451
142	14.12771271
143	14.10190991
144	14.07649565
